"","running_number","season","autumn_winter","location","sex","num_prey","fork_length_residuals","condition_scaled","gene1","gene2","sea_age","place_of_origin"
"1",1,"92/93","autumn","location16","male",2,13.4410256410372,0.80051421455725,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"2",2,"92/93","autumn","location16","female",0,-9.55897435897209,0.227160003684016,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"3",3,"92/93","autumn","location20","female",20,-6.55897435897437,1.00005974743717,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"4",4,"92/93","autumn","location20","male",0,-8.55897435897437,-0.592118706116006,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"5",5,"92/93","autumn","location20","female",0,-10.5589743589744,1.37030029217264,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"6",6,"92/93","autumn","location15","female",2,13.4410256410256,-0.0256135297849934,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"7",7,"92/93","autumn","location15","female",0,-5.55897435897437,0.635313474023077,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"8",8,"92/93","autumn","location15","female",0,-12.5589743589744,0.270130562948418,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"9",9,"92/93","autumn","location15","female",8,9.44102564102563,0.507204263809259,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"10",10,"92/93","autumn","location18","female",112,-4.55897435897437,1.50622393794544,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"11",11,"92/93","autumn","location18","female",64,-8.55897435897437,2.50392544254178,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"12",12,"92/93","autumn","location18","female",10,-4.04242424242424,0.483643298919096,-0.614477648907116,-1.41051842694197,"1SW","England_Ireland"
"13",13,"92/93","autumn","location18","male",60,-6.04242424242424,1.68751923116371,-2.00865503358761,-0.137307103507625,"1SW","England_Ireland"
"14",14,"92/93","autumn","location9","female",0,-11.5589743589744,-0.0945910060726453,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"15",15,"92/93","autumn","location9","female",0,-10.5589743589744,-0.724501463766468,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"17",17,"92/93","autumn","location5","male",64,-4.55897435897437,0.887335430839739,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"18",18,"92/93","autumn","location5","female",0,-1.04242424242424,1.04758334785821,0.77969973577338,-1.41051842694197,"1SW","England_Ireland"
"19",19,"92/93","autumn","location5","male",25,-25.5589743589744,0.143507602902838,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"20",20,"92/93","autumn","location5","female",146,2.95757575757576,-0.303468593585574,-2.00865503358761,1.13590421992672,"1SW","England_Ireland"
"21",21,"92/93","autumn","location5","male",0,-14.5589743589744,-1.45488959434565,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"22",22,"92/93","autumn","location5","male",20,-8.55897435897437,-0.828257666606859,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"23",23,"92/93","autumn","location5","male",1,-6.55897435897437,-0.539291506208333,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"24",24,"92/93","autumn","location5","male",17,-11.5589743589744,-0.935734010169791,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"25",25,"92/93","autumn","location5","female",0,-9.55897435897437,0.227160003684016,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"26",26,"92/93","autumn","location5","female",0,-14.5589743589744,0.102830136971285,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"27",27,"92/93","autumn","location5","female",1,-3.55897435897437,0.537013991379816,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"28",28,"92/93","autumn","location5","female",7,-4.55897435897437,0.290550084702127,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"29",29,"92/93","autumn","location5","male",0,-9.55897435897437,0.720901890984361,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"30",30,"92/93","autumn","location5","female",0,-1.55897435897437,1.14273480344638,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"31",31,"92/93","autumn","location5","male",0,-6.55897435897437,-0.972234046296144,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"32",32,"92/93","autumn","location5","male",0,2.44102564102563,-0.141541766318741,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"33",33,"92/93","autumn","location5","male",0,-3.55897435897437,-0.0355803602170698,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"34",34,"92/93","autumn","location5","male",0,-10.5589743589744,-0.179279088933,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"35",35,"92/93","autumn","location5","female",0,-3.04242424242424,-0.0420637024240471,0.77969973577338,1.13590421992672,"1SW","England_Ireland"
"36",36,"92/93","autumn","location5","female",2,-6.55897435897437,1.00005974743717,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"37",37,"92/93","autumn","location5","female",0,-2.04242424242424,-0.523978317255446,0.77969973577338,-0.137307103507625,"1SW","Southern_Norway"
"38",38,"92/93","autumn","location5","female",0,-0.0424242424242442,-0.111538105732873,0.77969973577338,1.13590421992672,"1SW","Southern_Norway"
"39",39,"92/93","autumn","location5","female",0,-0.0424242424242442,-0.742649680204876,-2.00865503358761,-1.41051842694197,"1SW","England_Ireland"
"40",40,"92/93","autumn","location5","female",0,-2.04242424242424,-0.523978317255446,-0.614477648907116,-0.137307103507625,"1SW","England_Ireland"
"41",41,"92/93","autumn","location5","female",63,-2.04242424242424,-0.523978317255446,-0.614477648907116,1.13590421992672,"1SW","England_Ireland"
"42",42,"92/93","autumn","location5","male",0,-3.04242424242424,-0.0420637024240471,0.77969973577338,1.13590421992672,"1SW","Southern_Norway"
"43",43,"92/93","autumn","location5","female",3,-2.04242424242424,-0.523978317255446,0.77969973577338,1.13590421992672,"1SW","England_Ireland"
"44",44,"92/93","autumn","location5","male",0,-4.04242424242424,-0.421702174332637,-2.00865503358761,-1.41051842694197,"1SW","England_Ireland"
"45",45,"92/93","autumn","location5","female",0,-4.04242424242424,0.483643298919096,0.77969973577338,-0.137307103507625,"1SW","England_Ireland"
"46",46,"92/93","autumn","location5","male",0,-4.04242424242424,-1.23651310025921,0.77969973577338,-0.137307103507625,"1SW","Southern_Norway"
"47",47,"92/93","autumn","location5","female",0,-5.04242424242424,-0.78189329269631,-2.00865503358761,-0.137307103507625,"1SW","England_Ireland"
"48",48,"92/93","autumn","location5","male",0,-3.04242424242424,-0.0420637024240471,0.77969973577338,-0.137307103507625,"1SW","Southern_Norway"
"49",49,"92/93","autumn","location5","female",0,-4.04242424242424,-0.421702174332637,-0.614477648907116,-1.41051842694197,"1SW","England_Ireland"
"50",50,"92/93","autumn","location5","female",102,-3.04242424242424,-0.0420637024240471,0.77969973577338,1.13590421992672,"1SW","Southern_Norway"
"51",51,"92/93","autumn","location5","male",0,-20.5589743589744,-1.36609149595935,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"52",52,"92/93","autumn","location5","male",0,-1.04242424242424,-0.295183680951476,0.77969973577338,-0.137307103507625,"1SW","Southern_Norway"
"53",53,"92/93","autumn","location5","male",0,-5.04242424242424,0.0897451091756014,-0.614477648907116,1.13590421992672,"1SW","Southern_Norway"
"54",54,"92/93","autumn","location5","female",0,-3.04242424242424,-0.0420637024240471,-2.00865503358761,-1.41051842694197,"1SW","England_Ireland"
"55",55,"92/93","autumn","location5","male",0,-4.04242424242424,-0.421702174332637,-2.00865503358761,-0.137307103507625,"1SW","England_Ireland"
"56",56,"92/93","autumn","location5","male",0,-3.04242424242424,-0.889639175528183,-0.614477648907116,1.13590421992672,"1SW","Southern_Norway"
"57",57,"92/93","autumn","location5","female",2,-4.04242424242424,0.483643298919096,0.77969973577338,-0.137307103507625,"1SW","England_Ireland"
"58",58,"92/93","autumn","location5","male",2,-9.55897435897437,-0.266581883616327,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"59",59,"92/93","autumn","location5","female",0,13.9575757575758,-0.26544429673353,-0.614477648907116,1.13590421992672,"1SW","Southern_Norway"
"60",60,"92/93","autumn","location5","female",0,-8.55897435897437,0.588576096338241,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"61",61,"92/93","autumn","location5","female",18,-4.55897435897437,1.28519232826489,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"62",62,"92/93","autumn","location5","female",1,-9.55897435897437,0.96777283463457,-0.614477648907116,-1.41051842694197,"MSW","Southern_Norway"
"63",63,"92/93","autumn","location5","female",31,-9.55897435897437,0.96777283463457,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"64",64,"92/93","autumn","location5","female",33,-6.55897435897437,-0.539291506208333,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"65",65,"92/93","autumn","location5","female",0,-12.5589743589744,-1.74401998026605,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"66",66,"92/93","autumn","location5","male",1,-6.55897435897437,-0.0582442394441146,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"67",67,"92/93","autumn","location5","female",0,24.4410256410256,-0.54840305459168,-2.00865503358761,1.13590421992672,"MSW","England_Ireland"
"68",68,"92/93","autumn","location5","female",1,-7.55897435897437,0.0301371712107994,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"69",69,"92/93","autumn","location5","female",0,-3.55897435897437,-0.120409153046251,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"70",70,"92/93","autumn","location5","female",36,-6.55897435897437,-0.779815139590454,0.77969973577338,-1.41051842694197,"MSW","England_Ireland"
"71",71,"92/93","autumn","location5","female",0,-3.55897435897437,-0.968697081337988,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"72",72,"92/93","autumn","location5","male",0,14.4410256410256,1.00325651124915,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"73",73,"92/93","autumn","location5","female",1,-4.55897435897437,1.08626387955228,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"74",74,"92/93","autumn","location5","male",13,-15.5589743589744,-0.81282261887823,-2.00865503358761,-1.41051842694197,"MSW","Northern_reporting_groups"
"75",75,"92/93","autumn","location5","male",0,-12.5589743589744,-1.17754013998698,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"76",76,"92/93","autumn","location5","female",60,-1.55897435897437,-0.108814778776813,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"77",77,"92/93","autumn","location5","female",6,-12.5589743589744,-0.6110602997079,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"78",78,"92/93","autumn","location5","male",1,-8.55897435897437,-1.32677324986532,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"79",79,"92/93","autumn","location5","male",1,-10.5589743589744,-0.437542319117268,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"80",80,"92/93","autumn","location5","male",0,-11.5589743589744,0.446143782275523,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"81",81,"92/93","autumn","location5","male",0,-12.5589743589744,2.25281000392518,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"82",82,"92/93","autumn","location5","male",0,-10.5589743589744,0.853773831804116,-2.00865503358761,1.13590421992672,"MSW","England_Ireland"
"83",83,"92/93","autumn","location5","female",1,-18.5589743589744,-1.24338699209608,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"84",84,"92/93","autumn","location5","male",0,-10.5589743589744,-0.982764693950743,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"85",85,"92/93","autumn","location5","female",2,-10.5589743589744,-0.724501463766468,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"86",86,"92/93","autumn","location5","female",1,-6.55897435897437,-0.322820236164417,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"87",87,"92/93","autumn","location5","female",30,-6.55897435897437,-0.106348966120493,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"88",88,"92/93","autumn","location5","male",0,-13.5589743589744,-0.562387053995371,-0.614477648907116,1.13590421992672,"MSW","England_Ireland"
"89",89,"92/93","autumn","location5","male",14,-4.55897435897437,-0.107306812722947,-0.614477648907116,-1.41051842694197,"MSW","Southern_Norway"
"90",90,"92/93","winter","location41","male",0,23.4410256410256,1.73245421108576,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"91",91,"92/93","winter","location41","female",0,-9.55897435897437,-0.348872198166407,-2.00865503358761,-0.137307103507625,"MSW","Southern_Norway"
"92",92,"92/93","winter","location41","male",10,-7.55897435897437,-0.723263249326256,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"93",93,"92/93","winter","location41","female",1,-8.55897435897437,-0.408455070178677,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"94",94,"92/93","winter","location41","female",0,9.44102564102563,2.62139480972989,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"95",95,"92/93","winter","location41","male",0,22.4410256410256,1.17261732585882,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"97",97,"92/93","winter","location41","female",0,16.4410256410256,1.47593123346541,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"99",99,"92/93","winter","location41","female",2,18.4410256410256,1.38623010175377,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"100",100,"92/93","winter","location41","female",7,-2.55897435897437,0.1850145056358,0.77969973577338,-0.137307103507625,"MSW","Northern_reporting_groups"
"101",101,"92/93","winter","location41","female",0,-6.55897435897437,1.62542119423068,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"102",102,"92/93","winter","location41","female",6,13.4410256410256,1.29845422484568,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"103",103,"92/93","winter","location41","female",2,-4.55897435897437,-0.0188941688507255,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"104",104,"92/93","winter","location41","female",2,-1.55897435897437,0.849402870112789,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"105",105,"92/93","winter","location31","female",0,-6.55897435897437,0.182279393937998,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"106",106,"92/93","winter","location31","female",0,11.4410256410256,0.59820084360096,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"107",107,"92/93","winter","location31","male",0,-6.55897435897437,-1.5013860397368,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"108",108,"92/93","winter","location31","female",5,8.44102564102563,0.30520934374926,0.77969973577338,-1.41051842694197,"MSW","Northern_reporting_groups"
"109",109,"92/93","winter","location31","female",103,-16.5589743589744,-0.880033320166333,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"110",110,"92/93","winter","location31","male",2,28.4410256410256,1.01074968669863,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"111",111,"92/93","winter","location31","male",0,-5.55897435897437,-0.839906566714503,0.77969973577338,-1.41051842694197,"MSW","England_Ireland"
"112",112,"92/93","winter","location31","male",0,-12.5589743589744,-0.548118095232448,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"113",113,"92/93","winter","location31","female",0,-6.55897435897437,-0.298767872826227,-0.614477648907116,-1.41051842694197,"MSW","Southern_Norway"
"114",114,"92/93","winter","location31","female",0,11.4410256410256,1.9298706242386,0.77969973577338,-0.137307103507625,"MSW","Northern_reporting_groups"
"115",115,"92/93","winter","location31","female",1,9.44102564102563,-0.361818844023097,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"116",116,"92/93","winter","location31","female",1,14.4410256410256,0.565343660303046,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"117",117,"92/93","winter","location31","female",25,-4.55897435897437,0.644200660191091,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"118",118,"92/93","winter","location31","female",0,-3.55897435897437,-1.81698500962972,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"119",119,"92/93","winter","location31","male",2,22.4410256410256,1.00256746236296,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"120",120,"92/93","winter","location31","female",0,-6.55897435897437,-0.298767872826227,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"121",121,"92/93","winter","location31","male",0,-5.55897435897437,-0.148397172618752,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"122",122,"92/93","winter","location31","female",0,-2.55897435897437,-1.85088677982769,-2.00865503358761,1.13590421992672,"MSW","England_Ireland"
"123",123,"92/93","winter","location31","female",0,-1.55897435897437,0.849402870112789,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"124",124,"92/93","winter","location31","female",2,11.4410256410256,0.840322621898671,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"125",125,"92/93","winter","location31","female",0,11.4410256410256,1.9298706242386,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"126",126,"92/93","winter","location31","male",0,-2.55897435897437,-1.44370652273499,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"127",127,"92/93","winter","location31","female",0,-2.55897435897437,-1.03652626564229,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"128",128,"92/93","winter","location31","female",1,1.44102564102563,0.224592723160669,0.77969973577338,-1.41051842694197,"MSW","Northern_reporting_groups"
"129",129,"92/93","winter","location31","female",1,-7.55897435897437,-0.472129775813915,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"130",130,"92/93","winter","location31","female",0,10.4410256410256,2.01711789954143,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"131",131,"92/93","winter","location31","male",0,23.4410256410256,0.494960117334753,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"132",132,"92/93","winter","location31","female",7,-4.55897435897437,-0.0188941688507255,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"133",133,"92/93","winter","location31","male",0,37.4410256410256,0.0408832966628345,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"134",134,"92/93","winter","location52","female",1,15.4410256410256,0.61480728923171,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"135",135,"92/93","winter","location52","female",2,0.441025641025632,1.28044777865861,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"136",136,"92/93","winter","location52","male",10,2.44102564102563,-2.23315131064648,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"137",137,"92/93","winter","location52","female",1,-5.55897435897437,-0.839906566714503,0.77969973577338,-1.41051842694197,"MSW","England_Ireland"
"138",138,"92/93","winter","location52","male",0,11.4410256410256,0.719261732749815,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"139",139,"92/93","winter","location52","female",8,10.4410256410256,1.01484934495545,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"140",140,"92/93","winter","location52","female",4,14.4410256410256,1.00325651124915,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"141",141,"92/93","winter","location52","female",11,9.44102564102563,1.32434539505471,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"142",142,"92/93","winter","location52","male",8,21.4410256410256,-0.304377753488167,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"143",143,"92/93","winter","location52","female",14,9.44102564102563,0.416410804782028,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"144",144,"92/93","winter","location52","male",6,14.4410256410256,1.00325651124915,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"145",145,"92/93","winter","location52","female",11,-3.55897435897437,0.727878775245493,-2.00865503358761,-1.41051842694197,"MSW","Southern_Norway"
"146",146,"92/93","winter","location52","female",11,13.4410256410256,-0.0595639850319621,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"147",147,"92/93","winter","location52","male",4,23.4410256410256,0.494960117334753,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"148",148,"92/93","winter","location52","male",0,22.4410256410256,1.17261732585882,-0.614477648907116,1.13590421992672,"MSW","Northern_reporting_groups"
"149",149,"92/93","winter","location52","female",0,18.4410256410256,1.67490054205137,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"150",150,"92/93","winter","location52","male",0,15.4410256410256,2.83969290613006,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"151",151,"92/93","winter","location52","male",7,16.4410256410256,0.450272151116834,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"152",152,"92/93","winter","location52","female",3,11.4410256410256,-0.128164491292325,0.77969973577338,-0.137307103507625,"MSW","Northern_reporting_groups"
"153",153,"92/93","winter","location52","female",0,-5.55897435897437,-0.839906566714503,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"155",155,"92/93","winter","location52","male",4,-3.55897435897437,-0.544553117192131,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"156",156,"92/93","winter","location52","male",0,-3.55897435897437,-0.544553117192131,-0.614477648907116,-1.41051842694197,"MSW","England_Ireland"
"157",157,"92/93","winter","location52","female",1,-7.55897435897437,0.783537591747805,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"158",158,"92/93","winter","location52","male",0,7.44102564102563,2.12762563244987,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"159",159,"92/93","winter","location52","female",1,-7.55897435897437,-0.723263249326256,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"160",160,"92/93","winter","location52","female",0,-5.55897435897437,-0.148397172618752,0.77969973577338,-0.137307103507625,"MSW","England_Ireland"
"161",161,"92/93","winter","location52","female",1,-1.55897435897437,1.43606673677998,-2.00865503358761,-0.137307103507625,"MSW","Southern_Norway"
"162",162,"92/93","winter","location52","female",10,-5.55897435897437,1.00411848420747,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"163",163,"92/93","winter","location52","female",22,-8.55897435897437,0.641051420891741,-0.614477648907116,-1.41051842694197,"MSW","Northern_reporting_groups"
"164",164,"92/93","winter","location52","female",2,4.44102564102563,-0.303597435640955,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"165",165,"92/93","winter","location52","female",0,12.4410256410256,0.78788755727121,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"166",166,"92/93","winter","location52","female",0,-12.5589743589744,-0.548118095232448,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"168",168,"92/93","winter","location52","female",0,-7.55897435897437,0.281270644723135,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"169",169,"92/93","winter","location52","female",0,-4.55897435897437,0.202137440829905,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"170",170,"92/93","winter","location52","male",1,0.441025641025632,-1.97231360442034,-2.00865503358761,-0.137307103507625,"MSW","England_Ireland"
"171",171,"92/93","winter","location52","female",5,-6.55897435897437,-0.298767872826227,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"172",172,"92/93","winter","location51","male",22,-7.55897435897437,0.0301371712107994,-2.00865503358761,-1.41051842694197,"MSW","England_Ireland"
"173",173,"92/93","winter","location51","female",0,-7.55897435897437,0.281270644723135,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"174",174,"92/93","winter","location51","female",5,7.44102564102563,0.457322622851813,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"175",175,"92/93","winter","location51","male",0,20.4410256410256,0.832371523445875,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"176",176,"92/93","winter","location51","male",1,15.4410256410256,0.61480728923171,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"177",177,"92/93","winter","location51","male",0,-5.55897435897437,-0.378900303984012,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"178",178,"92/93","winter","location51","female",0,12.4410256410256,1.37301687678783,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"179",179,"92/93","winter","location51","female",33,-2.55897435897437,0.388604634182182,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"180",180,"92/93","winter","location51","female",1,-11.5589743589744,0.0556131018018303,0.77969973577338,-0.137307103507625,"MSW","Northern_reporting_groups"
"181",181,"92/93","winter","location51","female",11,10.4410256410256,-0.613837056246764,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"182",182,"92/93","winter","location51","female",3,-8.55897435897437,-0.933208315713906,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"183",183,"92/93","winter","location51","female",0,4.44102564102563,0.783065512363559,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"184",184,"92/93","winter","location51","male",6,-3.55897435897437,-1.18076906341092,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"185",185,"92/93","winter","location51","female",0,9.44102564102563,1.97287010239226,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"186",186,"92/93","winter","location51","female",30,2.44102564102563,0.276780142546877,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"187",187,"92/93","winter","location51","female",7,-10.5589743589744,-0.581021891441868,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"188",188,"92/93","winter","location51","female",0,-7.55897435897437,0.0301371712107994,-0.614477648907116,-0.137307103507625,"MSW","England_Ireland"
"190",190,"92/93","winter","location51","male",0,-6.55897435897437,-1.74190967311891,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"191",191,"92/93","winter","location51","female",0,10.4410256410256,0.388431498339212,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"192",192,"92/93","winter","location51","male",0,-13.5589743589744,0.493409416269047,0.77969973577338,1.13590421992672,"MSW","England_Ireland"
"193",193,"92/93","winter","location51","female",3,16.4410256410256,0.963101692291124,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"194",194,"92/93","winter","location51","female",0,-4.55897435897437,0.202137440829905,-2.00865503358761,1.13590421992672,"MSW","England_Ireland"
"195",195,"92/93","winter","location51","male",15,17.4410256410256,0.687813863006657,-0.614477648907116,1.13590421992672,"MSW","Northern_reporting_groups"
"196",196,"92/93","winter","location51","male",1,16.4410256410256,-0.267689206527186,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"197",197,"92/93","winter","location51","male",68,-2.55897435897437,-0.629346008549599,0.77969973577338,-0.137307103507625,"MSW","Southern_Norway"
"198",198,"92/93","winter","location51","female",143,-10.5589743589744,-0.294062746792638,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"199",199,"92/93","winter","location51","male",1,13.4410256410256,0.732613304063313,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"200",200,"92/93","winter","location51","female",9,19.4410256410256,-0.295183680951476,0.77969973577338,1.13590421992672,"MSW","Southern_Norway"
"201",201,"92/93","winter","location51","male",40,30.4410256410256,0.999752437742005,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"202",202,"92/93","winter","location51","female",0,12.4410256410256,0.78788755727121,-0.614477648907116,-0.137307103507625,"MSW","Southern_Norway"
"203",203,"92/93","winter","location51","female",28,15.4410256410256,0.508860355093644,0.77969973577338,-1.41051842694197,"MSW","Southern_Norway"
"204",204,"92/93","winter","location51","female",116,-3.55897435897437,1.15202273939133,-0.614477648907116,1.13590421992672,"MSW","Southern_Norway"
"205",205,"92/93","winter","location51","male",52,-3.55897435897437,-0.968697081337988,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
"206",206,"92/93","winter","location51","male",0,-10.5589743589744,-1.18363609520518,-2.00865503358761,-1.41051842694197,"MSW","Northern_reporting_groups"
"207",207,"92/93","winter","location51","female",2,-5.55897435897437,-0.148397172618752,-2.00865503358761,-0.137307103507625,"MSW","Southern_Norway"
"208",208,"92/93","winter","location51","female",15,15.4410256410256,1.78022356474992,0.77969973577338,1.13590421992672,"MSW","Northern_reporting_groups"
